	Subject	Sequence	Block	Legality	Accuracy
93	sub-03	1	2	Legal	88.88888888888889
94	sub-03	1	3	Illegal	44.44444444444444
95	sub-03	1	3	Legal	88.88888888888889
96	sub-03	1	4	Illegal	33.33333333333333
97	sub-03	1	4	Legal	88.88888888888889
98	sub-03	1	5	Illegal	22.22222222222222
99	sub-03	1	5	Legal	77.77777777777779
100	sub-03	2	1	Illegal	55.55555555555556
101	sub-03	2	1	Legal	66.66666666666666
102	sub-03	2	2	Illegal	44.44444444444444
103	sub-03	2	2	Legal	55.55555555555556
104	sub-03	2	3	Illegal	44.44444444444444
105	sub-03	2	3	Legal	77.77777777777779
106	sub-03	2	4	Illegal	22.22222222222222
107	sub-03	2	4	Legal	77.77777777777779
108	sub-03	2	5	Illegal	66.66666666666666
109	sub-03	2	5	Legal	77.77777777777779
110	sub-03	3	1	Illegal	66.66666666666666
111	sub-03	3	1	Legal	88.88888888888889
112	sub-03	3	2	Illegal	44.44444444444444
113	sub-03	3	2	Legal	100.0
114	sub-03	3	3	Illegal	55.55555555555556
115	sub-03	3	3	Legal	100.0
116	sub-03	3	4	Illegal	66.66666666666666
117	sub-03	3	4	Legal	88.88888888888889
118	sub-03	3	5	Illegal	55.55555555555556
119	sub-03	3	5	Legal	88.88888888888889
120	sub-03	4	1	Illegal	55.55555555555556
121	sub-03	4	1	Legal	88.88888888888889
122	sub-03	4	2	Illegal	66.66666666666666
123	sub-03	4	2	Legal	66.66666666666666
124	sub-03	4	3	Illegal	55.55555555555556
125	sub-03	4	3	Legal	88.88888888888889
126	sub-03	4	4	Illegal	77.77777777777779
127	sub-03	4	4	Legal	88.88888888888889
128	sub-03	4	5	Illegal	55.55555555555556
129	sub-03	4	5	Legal	100.0
130	sub-03	5	1	Illegal	44.44444444444444
131	sub-03	5	1	Legal	88.88888888888889
132	sub-03	5	2	Illegal	77.77777777777779
133	sub-03	5	2	Legal	100.0
134	sub-03	5	3	Illegal	44.44444444444444
135	sub-03	5	3	Legal	88.88888888888889
136	sub-03	5	4	Illegal	66.66666666666666
137	sub-03	5	4	Legal	100.0
138	sub-03	5	5	Illegal	55.55555555555556
139	sub-03	5	5	Legal	88.88888888888889
140	sub-03	6	1	Illegal	66.66666666666666
141	sub-03	6	1	Legal	100.0
142	sub-03	6	2	Illegal	66.66666666666666
143	sub-03	6	2	Legal	88.88888888888889
144	sub-03	6	3	Illegal	55.55555555555556
145	sub-03	6	3	Legal	100.0
146	sub-03	6	4	Illegal	55.55555555555556
147	sub-03	6	4	Legal	77.77777777777779
148	sub-03	6	5	Illegal	44.44444444444444
149	sub-03	6	5	Legal	100.0
150	sub-03	7	1	Illegal	66.66666666666666
151	sub-03	7	1	Legal	100.0
152	sub-03	7	2	Illegal	77.77777777777779
153	sub-03	7	2	Legal	100.0
154	sub-03	7	3	Illegal	44.44444444444444
155	sub-03	7	3	Legal	88.88888888888889
156	sub-03	7	4	Illegal	55.55555555555556
157	sub-03	7	4	Legal	100.0
158	sub-03	7	5	Illegal	66.66666666666666
159	sub-03	7	5	Legal	100.0
160	sub-03	8	1	Illegal	44.44444444444444
161	sub-03	8	1	Legal	100.0
162	sub-03	8	2	Illegal	77.77777777777779
163	sub-03	8	2	Legal	100.0
164	sub-03	8	3	Illegal	77.77777777777779
165	sub-03	8	3	Legal	66.66666666666666
166	sub-03	8	4	Illegal	66.66666666666666
167	sub-03	8	4	Legal	66.66666666666666
168	sub-03	8	5	Illegal	66.66666666666666
169	sub-03	8	5	Legal	77.77777777777779
170	sub-03	9	1	Illegal	77.77777777777779
171	sub-03	9	1	Legal	100.0
172	sub-03	9	2	Illegal	44.44444444444444
173	sub-03	9	2	Legal	77.77777777777779
174	sub-03	9	3	Illegal	44.44444444444444
175	sub-03	9	3	Legal	55.55555555555556
176	sub-03	9	4	Illegal	77.77777777777779
177	sub-03	9	4	Legal	100.0
178	sub-03	9	5	Illegal	44.44444444444444
179	sub-03	9	5	Legal	77.77777777777779
180	sub-04	5	1	Illegal	55.55555555555556
181	sub-04	5	1	Legal	100.0
182	sub-04	5	2	Illegal	44.44444444444444
183	sub-04	5	2	Legal	66.66666666666666
184	sub-04	5	3	Illegal	44.44444444444444
185	sub-04	5	3	Legal	88.88888888888889
186	sub-04	5	4	Illegal	55.55555555555556
187	sub-04	5	4	Legal	88.88888888888889
188	sub-04	5	5	Illegal	33.33333333333333
189	sub-04	5	5	Legal	77.77777777777779
190	sub-04	6	1	Illegal	33.33333333333333
191	sub-04	6	1	Legal	100.0
192	sub-04	6	2	Illegal	55.55555555555556
193	sub-04	6	2	Legal	100.0
194	sub-04	6	3	Illegal	55.55555555555556
195	sub-04	6	3	Legal	88.88888888888889
196	sub-04	6	4	Illegal	44.44444444444444
197	sub-04	6	4	Legal	88.88888888888889
198	sub-04	6	5	Illegal	55.55555555555556
199	sub-04	6	5	Legal	100.0
200	sub-04	7	1	Illegal	66.66666666666666
201	sub-04	7	1	Legal	100.0
202	sub-04	7	2	Illegal	66.66666666666666
203	sub-04	7	2	Legal	88.88888888888889
204	sub-04	7	3	Illegal	55.55555555555556
205	sub-04	7	3	Legal	88.88888888888889
206	sub-04	7	4	Illegal	66.66666666666666
207	sub-04	7	4	Legal	88.88888888888889
208	sub-04	7	5	Illegal	33.33333333333333
209	sub-04	7	5	Legal	100.0
210	sub-04	8	1	Illegal	77.77777777777779
211	sub-04	8	1	Legal	100.0
212	sub-04	8	2	Illegal	55.55555555555556
213	sub-04	8	2	Legal	88.88888888888889
214	sub-04	8	3	Illegal	66.66666666666666
215	sub-04	8	3	Legal	100.0
216	sub-04	8	4	Illegal	66.66666666666666
217	sub-04	8	4	Legal	100.0
218	sub-04	8	5	Illegal	66.66666666666666
219	sub-04	8	5	Legal	88.88888888888889
220	sub-04	9	1	Illegal	77.77777777777779
221	sub-04	9	1	Legal	100.0
222	sub-04	9	2	Illegal	44.44444444444444
223	sub-04	9	2	Legal	100.0
224	sub-04	9	3	Illegal	55.55555555555556
225	sub-04	9	3	Legal	88.88888888888889
226	sub-04	9	4	Illegal	55.55555555555556
227	sub-04	9	4	Legal	88.88888888888889
228	sub-04	9	5	Illegal	55.55555555555556
229	sub-04	9	5	Legal	88.88888888888889
230	sub-05	1	1	Illegal	66.66666666666666
231	sub-05	1	1	Legal	77.77777777777779
232	sub-05	1	2	Illegal	22.22222222222222
233	sub-05	1	2	Legal	77.77777777777779
234	sub-05	1	3	Illegal	22.22222222222222
235	sub-05	1	3	Legal	77.77777777777779
236	sub-05	1	4	Illegal	44.44444444444444
237	sub-05	1	4	Legal	66.66666666666666
238	sub-05	1	5	Illegal	33.33333333333333
239	sub-05	1	5	Legal	77.77777777777779
240	sub-05	2	1	Illegal	44.44444444444444
241	sub-05	2	1	Legal	88.88888888888889
242	sub-05	2	2	Illegal	55.55555555555556
243	sub-05	2	2	Legal	88.88888888888889
244	sub-05	2	3	Illegal	44.44444444444444
245	sub-05	2	3	Legal	55.55555555555556
246	sub-05	2	4	Illegal	33.33333333333333
247	sub-05	2	4	Legal	66.66666666666666
248	sub-05	2	5	Illegal	44.44444444444444
249	sub-05	2	5	Legal	88.88888888888889
250	sub-05	3	1	Illegal	55.55555555555556
251	sub-05	3	1	Legal	77.77777777777779
252	sub-05	3	2	Illegal	44.44444444444444
253	sub-05	3	2	Legal	66.66666666666666
254	sub-05	3	3	Illegal	33.33333333333333
255	sub-05	3	3	Legal	77.77777777777779
256	sub-05	3	4	Illegal	44.44444444444444
257	sub-05	3	4	Legal	77.77777777777779
258	sub-05	3	5	Illegal	44.44444444444444
259	sub-05	3	5	Legal	88.88888888888889
260	sub-05	4	1	Illegal	55.55555555555556
261	sub-05	4	1	Legal	88.88888888888889
262	sub-05	4	2	Illegal	33.33333333333333
263	sub-05	4	2	Legal	88.88888888888889
264	sub-05	4	3	Illegal	77.77777777777779
265	sub-05	4	3	Legal	77.77777777777779
266	sub-05	4	4	Illegal	66.66666666666666
267	sub-05	4	4	Legal	77.77777777777779
268	sub-05	4	5	Illegal	55.55555555555556
269	sub-05	4	5	Legal	88.88888888888889
270	sub-05	5	1	Illegal	55.55555555555556
271	sub-05	5	1	Legal	88.88888888888889
272	sub-05	5	2	Illegal	66.66666666666666
273	sub-05	5	2	Legal	88.88888888888889
274	sub-05	5	3	Illegal	66.66666666666666
275	sub-05	5	3	Legal	88.88888888888889
276	sub-05	5	4	Illegal	33.33333333333333
277	sub-05	5	4	Legal	100.0
278	sub-05	5	5	Illegal	66.66666666666666
279	sub-05	5	5	Legal	77.77777777777779
280	sub-05	6	1	Illegal	44.44444444444444
281	sub-05	6	1	Legal	77.77777777777779
282	sub-05	6	2	Illegal	11.11111111111111
283	sub-05	6	2	Legal	77.77777777777779
284	sub-05	6	3	Illegal	55.55555555555556
285	sub-05	6	3	Legal	88.88888888888889
286	sub-05	6	4	Illegal	77.77777777777779
287	sub-05	6	4	Legal	55.55555555555556
288	sub-05	6	5	Illegal	66.66666666666666
289	sub-05	6	5	Legal	88.88888888888889
290	sub-05	7	1	Illegal	44.44444444444444
291	sub-05	7	1	Legal	77.77777777777779
292	sub-05	7	2	Illegal	66.66666666666666
293	sub-05	7	2	Legal	77.77777777777779
294	sub-05	7	3	Illegal	55.55555555555556
295	sub-05	7	3	Legal	77.77777777777779
296	sub-05	7	4	Illegal	55.55555555555556
297	sub-05	7	4	Legal	100.0
298	sub-05	7	5	Illegal	66.66666666666666
299	sub-05	7	5	Legal	88.88888888888889
300	sub-05	8	1	Illegal	77.77777777777779
301	sub-05	8	1	Legal	77.77777777777779
302	sub-05	8	2	Illegal	66.66666666666666
303	sub-05	8	2	Legal	66.66666666666666
304	sub-05	8	3	Illegal	55.55555555555556
305	sub-05	8	3	Legal	88.88888888888889
306	sub-05	8	4	Illegal	55.55555555555556
307	sub-05	8	4	Legal	100.0
308	sub-05	8	5	Illegal	55.55555555555556
309	sub-05	8	5	Legal	55.55555555555556
310	sub-05	9	1	Illegal	66.66666666666666
311	sub-05	9	1	Legal	88.88888888888889
312	sub-05	9	2	Illegal	55.55555555555556
313	sub-05	9	2	Legal	88.88888888888889
314	sub-05	9	3	Illegal	44.44444444444444
315	sub-05	9	3	Legal	100.0
316	sub-05	9	4	Illegal	55.55555555555556
317	sub-05	9	4	Legal	77.77777777777779
318	sub-05	9	5	Illegal	77.77777777777779
319	sub-05	9	5	Legal	66.66666666666666
320	sub-06	1	1	Illegal	55.55555555555556
321	sub-06	1	1	Legal	88.88888888888889
322	sub-06	1	2	Illegal	44.44444444444444
323	sub-06	1	2	Legal	100.0
324	sub-06	1	3	Illegal	33.33333333333333
325	sub-06	1	3	Legal	77.77777777777779
326	sub-06	1	4	Illegal	55.55555555555556
327	sub-06	1	4	Legal	100.0
328	sub-06	1	5	Illegal	55.55555555555556
329	sub-06	1	5	Legal	44.44444444444444
330	sub-06	2	1	Illegal	33.33333333333333
331	sub-06	2	1	Legal	77.77777777777779
332	sub-06	2	2	Illegal	44.44444444444444
333	sub-06	2	2	Legal	55.55555555555556
334	sub-06	2	3	Illegal	55.55555555555556
335	sub-06	2	3	Legal	88.88888888888889
336	sub-06	2	4	Illegal	55.55555555555556
337	sub-06	2	4	Legal	77.77777777777779
338	sub-06	2	5	Illegal	33.33333333333333
339	sub-06	2	5	Legal	88.88888888888889
340	sub-06	3	1	Illegal	33.33333333333333
341	sub-06	3	1	Legal	100.0
342	sub-06	3	2	Illegal	66.66666666666666
343	sub-06	3	2	Legal	77.77777777777779
344	sub-06	3	3	Illegal	44.44444444444444
345	sub-06	3	3	Legal	100.0
346	sub-06	3	4	Illegal	77.77777777777779
347	sub-06	3	4	Legal	66.66666666666666
348	sub-06	3	5	Illegal	55.55555555555556
349	sub-06	3	5	Legal	100.0
350	sub-06	4	1	Illegal	55.55555555555556
351	sub-06	4	1	Legal	100.0
352	sub-06	4	2	Illegal	88.88888888888889
353	sub-06	4	2	Legal	100.0
354	sub-06	4	3	Illegal	44.44444444444444
355	sub-06	4	3	Legal	77.77777777777779
356	sub-06	4	4	Illegal	44.44444444444444
357	sub-06	4	4	Legal	100.0
358	sub-06	4	5	Illegal	55.55555555555556
359	sub-06	4	5	Legal	100.0
360	sub-06	5	1	Illegal	77.77777777777779
361	sub-06	5	1	Legal	100.0
362	sub-06	5	2	Illegal	88.88888888888889
363	sub-06	5	2	Legal	88.88888888888889
364	sub-06	5	3	Illegal	55.55555555555556
365	sub-06	5	3	Legal	77.77777777777779
366	sub-06	5	4	Illegal	88.88888888888889
367	sub-06	5	4	Legal	100.0
368	sub-06	5	5	Illegal	77.77777777777779
369	sub-06	5	5	Legal	100.0
370	sub-06	6	1	Illegal	88.88888888888889
371	sub-06	6	1	Legal	100.0
372	sub-06	6	2	Illegal	55.55555555555556
373	sub-06	6	2	Legal	77.77777777777779
374	sub-06	6	3	Illegal	66.66666666666666
375	sub-06	6	3	Legal	88.88888888888889
376	sub-06	6	4	Illegal	33.33333333333333
377	sub-06	6	4	Legal	88.88888888888889
378	sub-06	6	5	Illegal	22.22222222222222
379	sub-06	6	5	Legal	88.88888888888889
380	sub-06	7	1	Illegal	88.88888888888889
381	sub-06	7	1	Legal	100.0
382	sub-06	7	2	Illegal	55.55555555555556
383	sub-06	7	2	Legal	88.88888888888889
384	sub-06	7	3	Illegal	88.88888888888889
385	sub-06	7	3	Legal	100.0
386	sub-06	7	4	Illegal	44.44444444444444
387	sub-06	7	4	Legal	88.88888888888889
388	sub-06	7	5	Illegal	66.66666666666666
389	sub-06	7	5	Legal	100.0
390	sub-06	8	1	Illegal	77.77777777777779
391	sub-06	8	1	Legal	77.77777777777779
392	sub-06	8	2	Illegal	55.55555555555556
393	sub-06	8	2	Legal	88.88888888888889
394	sub-06	8	3	Illegal	55.55555555555556
395	sub-06	8	3	Legal	88.88888888888889
396	sub-06	8	4	Illegal	77.77777777777779
397	sub-06	8	4	Legal	77.77777777777779
398	sub-06	8	5	Illegal	66.66666666666666
399	sub-06	8	5	Legal	77.77777777777779
400	sub-06	9	1	Illegal	77.77777777777779
401	sub-06	9	1	Legal	88.88888888888889
402	sub-06	9	2	Illegal	77.77777777777779
403	sub-06	9	2	Legal	100.0
404	sub-06	9	3	Illegal	55.55555555555556
405	sub-06	9	3	Legal	77.77777777777779
406	sub-06	9	4	Illegal	66.66666666666666
407	sub-06	9	4	Legal	100.0
408	sub-06	9	5	Illegal	55.55555555555556
409	sub-06	9	5	Legal	88.88888888888889
410	sub-07	1	1	Illegal	77.77777777777779
411	sub-07	1	1	Legal	66.66666666666666
412	sub-07	1	2	Illegal	66.66666666666666
413	sub-07	1	2	Legal	55.55555555555556
414	sub-07	1	3	Illegal	88.88888888888889
415	sub-07	1	3	Legal	66.66666666666666
416	sub-07	1	4	Illegal	44.44444444444444
417	sub-07	1	4	Legal	77.77777777777779
418	sub-07	1	5	Illegal	44.44444444444444
419	sub-07	1	5	Legal	66.66666666666666
420	sub-07	2	1	Illegal	88.88888888888889
421	sub-07	2	1	Legal	88.88888888888889
422	sub-07	2	2	Illegal	77.77777777777779
423	sub-07	2	2	Legal	88.88888888888889
424	sub-07	2	3	Illegal	77.77777777777779
425	sub-07	2	3	Legal	88.88888888888889
426	sub-07	2	4	Illegal	55.55555555555556
427	sub-07	2	4	Legal	77.77777777777779
428	sub-07	2	5	Illegal	77.77777777777779
429	sub-07	2	5	Legal	77.77777777777779
430	sub-07	3	1	Illegal	77.77777777777779
431	sub-07	3	1	Legal	77.77777777777779
432	sub-07	3	2	Illegal	88.88888888888889
433	sub-07	3	2	Legal	77.77777777777779
434	sub-07	3	3	Illegal	55.55555555555556
435	sub-07	3	3	Legal	66.66666666666666
436	sub-07	3	4	Illegal	55.55555555555556
437	sub-07	3	4	Legal	77.77777777777779
438	sub-07	3	5	Illegal	66.66666666666666
439	sub-07	3	5	Legal	66.66666666666666
440	sub-07	4	1	Illegal	77.77777777777779
441	sub-07	4	1	Legal	66.66666666666666
442	sub-07	4	2	Illegal	88.88888888888889
443	sub-07	4	2	Legal	55.55555555555556
444	sub-07	4	3	Illegal	33.33333333333333
445	sub-07	4	3	Legal	88.88888888888889
446	sub-07	4	4	Illegal	55.55555555555556
447	sub-07	4	4	Legal	77.77777777777779
448	sub-07	4	5	Illegal	44.44444444444444
449	sub-07	4	5	Legal	55.55555555555556
450	sub-07	5	1	Illegal	33.33333333333333
451	sub-07	5	1	Legal	77.77777777777779
452	sub-07	5	2	Illegal	100.0
453	sub-07	5	2	Legal	66.66666666666666
454	sub-07	5	3	Illegal	77.77777777777779
455	sub-07	5	3	Legal	88.88888888888889
456	sub-07	5	4	Illegal	44.44444444444444
457	sub-07	5	4	Legal	77.77777777777779
458	sub-07	5	5	Illegal	88.88888888888889
459	sub-07	5	5	Legal	77.77777777777779
460	sub-07	6	1	Illegal	77.77777777777779
461	sub-07	6	1	Legal	88.88888888888889
462	sub-07	6	2	Illegal	77.77777777777779
463	sub-07	6	2	Legal	77.77777777777779
464	sub-07	6	3	Illegal	55.55555555555556
465	sub-07	6	3	Legal	44.44444444444444
466	sub-07	6	4	Illegal	55.55555555555556
467	sub-07	6	4	Legal	66.66666666666666
468	sub-07	6	5	Illegal	55.55555555555556
469	sub-07	6	5	Legal	77.77777777777779
470	sub-07	7	1	Illegal	77.77777777777779
471	sub-07	7	1	Legal	88.88888888888889
472	sub-07	7	2	Illegal	66.66666666666666
473	sub-07	7	2	Legal	77.77777777777779
474	sub-07	7	3	Illegal	66.66666666666666
475	sub-07	7	3	Legal	77.77777777777779
476	sub-07	7	4	Illegal	55.55555555555556
477	sub-07	7	4	Legal	77.77777777777779
478	sub-07	7	5	Illegal	55.55555555555556
479	sub-07	7	5	Legal	66.66666666666666
480	sub-07	8	1	Illegal	77.77777777777779
481	sub-07	8	1	Legal	55.55555555555556
482	sub-07	8	2	Illegal	66.66666666666666
483	sub-07	8	2	Legal	77.77777777777779
484	sub-07	8	3	Illegal	88.88888888888889
485	sub-07	8	3	Legal	66.66666666666666
486	sub-07	8	4	Illegal	77.77777777777779
487	sub-07	8	4	Legal	55.55555555555556
488	sub-07	8	5	Illegal	66.66666666666666
489	sub-07	8	5	Legal	77.77777777777779
490	sub-07	9	1	Illegal	88.88888888888889
491	sub-07	9	1	Legal	77.77777777777779
492	sub-07	9	2	Illegal	88.88888888888889
493	sub-07	9	2	Legal	66.66666666666666
494	sub-07	9	3	Illegal	88.88888888888889
495	sub-07	9	3	Legal	88.88888888888889
496	sub-07	9	4	Illegal	77.77777777777779
497	sub-07	9	4	Legal	77.77777777777779
498	sub-07	9	5	Illegal	66.66666666666666
499	sub-07	9	5	Legal	44.44444444444444
500	sub-08	1	1	Illegal	33.33333333333333
501	sub-08	1	1	Legal	66.66666666666666
502	sub-08	1	2	Illegal	33.33333333333333
503	sub-08	1	2	Legal	66.66666666666666
504	sub-08	1	3	Illegal	11.11111111111111
505	sub-08	1	3	Legal	66.66666666666666
506	sub-08	1	4	Illegal	11.11111111111111
507	sub-08	1	4	Legal	88.88888888888889
508	sub-08	1	5	Illegal	33.33333333333333
509	sub-08	1	5	Legal	66.66666666666666
510	sub-08	2	1	Illegal	22.22222222222222
511	sub-08	2	1	Legal	66.66666666666666
512	sub-08	2	2	Illegal	22.22222222222222
513	sub-08	2	2	Legal	77.77777777777779
514	sub-08	2	3	Illegal	33.33333333333333
515	sub-08	2	3	Legal	88.88888888888889
516	sub-08	2	4	Illegal	33.33333333333333
517	sub-08	2	4	Legal	88.88888888888889
518	sub-08	2	5	Illegal	44.44444444444444
519	sub-08	2	5	Legal	77.77777777777779
520	sub-08	3	1	Illegal	22.22222222222222
521	sub-08	3	1	Legal	66.66666666666666
522	sub-08	3	2	Illegal	33.33333333333333
523	sub-08	3	2	Legal	100.0
524	sub-08	3	3	Illegal	44.44444444444444
525	sub-08	3	3	Legal	66.66666666666666
526	sub-08	3	4	Illegal	55.55555555555556
527	sub-08	3	4	Legal	88.88888888888889
528	sub-08	3	5	Illegal	33.33333333333333
529	sub-08	3	5	Legal	88.88888888888889
530	sub-08	4	1	Illegal	33.33333333333333
531	sub-08	4	1	Legal	66.66666666666666
532	sub-08	4	2	Illegal	55.55555555555556
533	sub-08	4	2	Legal	88.88888888888889
534	sub-08	4	3	Illegal	66.66666666666666
535	sub-08	4	3	Legal	88.88888888888889
536	sub-08	4	4	Illegal	44.44444444444444
537	sub-08	4	4	Legal	77.77777777777779
538	sub-08	4	5	Illegal	22.22222222222222
539	sub-08	4	5	Legal	88.88888888888889
540	sub-08	5	1	Illegal	44.44444444444444
541	sub-08	5	1	Legal	77.77777777777779
542	sub-08	5	2	Illegal	33.33333333333333
543	sub-08	5	2	Legal	88.88888888888889
544	sub-08	5	3	Illegal	33.33333333333333
545	sub-08	5	3	Legal	66.66666666666666
546	sub-08	5	4	Illegal	44.44444444444444
547	sub-08	5	4	Legal	77.77777777777779
548	sub-08	5	5	Illegal	44.44444444444444
549	sub-08	5	5	Legal	88.88888888888889
550	sub-08	6	1	Illegal	33.33333333333333
551	sub-08	6	1	Legal	77.77777777777779
552	sub-08	6	2	Illegal	55.55555555555556
553	sub-08	6	2	Legal	88.88888888888889
554	sub-08	6	3	Illegal	22.22222222222222
555	sub-08	6	3	Legal	66.66666666666666
556	sub-08	6	4	Illegal	22.22222222222222
557	sub-08	6	4	Legal	77.77777777777779
558	sub-08	6	5	Illegal	22.22222222222222
559	sub-08	6	5	Legal	88.88888888888889
560	sub-08	7	1	Illegal	55.55555555555556
561	sub-08	7	1	Legal	55.55555555555556
562	sub-08	7	2	Illegal	55.55555555555556
563	sub-08	7	2	Legal	77.77777777777779
564	sub-08	7	3	Illegal	44.44444444444444
565	sub-08	7	3	Legal	55.55555555555556
566	sub-08	7	4	Illegal	66.66666666666666
567	sub-08	7	4	Legal	100.0
568	sub-08	7	5	Illegal	77.77777777777779
569	sub-08	7	5	Legal	88.88888888888889
570	sub-08	8	1	Illegal	44.44444444444444
571	sub-08	8	1	Legal	77.77777777777779
572	sub-08	8	2	Illegal	66.66666666666666
573	sub-08	8	2	Legal	66.66666666666666
574	sub-08	8	3	Illegal	66.66666666666666
575	sub-08	8	3	Legal	88.88888888888889
576	sub-08	8	4	Illegal	66.66666666666666
577	sub-08	8	4	Legal	88.88888888888889
578	sub-08	8	5	Illegal	55.55555555555556
579	sub-08	8	5	Legal	77.77777777777779
580	sub-08	9	1	Illegal	88.88888888888889
581	sub-08	9	1	Legal	77.77777777777779
582	sub-08	9	2	Illegal	33.33333333333333
583	sub-08	9	2	Legal	88.88888888888889
584	sub-08	9	3	Illegal	77.77777777777779
585	sub-08	9	3	Legal	77.77777777777779
586	sub-08	9	4	Illegal	55.55555555555556
587	sub-08	9	4	Legal	100.0
588	sub-08	9	5	Illegal	44.44444444444444
589	sub-08	9	5	Legal	77.77777777777779
590	sub-10	1	1	Illegal	0.0
591	sub-10	1	1	Legal	77.77777777777779
592	sub-10	1	2	Illegal	22.22222222222222
593	sub-10	1	2	Legal	55.55555555555556
594	sub-10	1	3	Illegal	11.11111111111111
595	sub-10	1	3	Legal	55.55555555555556
596	sub-10	1	4	Illegal	11.11111111111111
597	sub-10	1	4	Legal	88.88888888888889
598	sub-10	1	5	Illegal	11.11111111111111
599	sub-10	1	5	Legal	77.77777777777779
600	sub-10	2	1	Illegal	11.11111111111111
601	sub-10	2	1	Legal	88.88888888888889
602	sub-10	2	2	Illegal	0.0
603	sub-10	2	2	Legal	44.44444444444444
604	sub-10	2	3	Illegal	11.11111111111111
