condition	WORD	BITMAP	WAV	trigg	Response	delayed_feedback	meg_trigger	AbsoluteOrder	ONSETS_TRIGGERS	ONSETS_MS	REPONSE_1	JUSTE	INSTANT_REPONSE	TEMPS_REACTION	EXACT
resp	Noir	Black	Rien	15	0	0	0	479	48700	0	0	0	0		NA
jitter	Noir	Black	Rien	7	0	0	0	494	50200	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	501	50900	0	0	0	0		NA
pres	bjoumg	BlackMEG	bjoumg_660ms	8	1	0	14	511	51900	0	0	0	4294915396		0
resp	Noir	Black	Rien	15	0	0	0	519	52700	0	0	0	0		NA
jitter	Noir	Black	Rien	8	0	0	0	534	54200	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	542	55000	0	0	0	0		NA
pres	djilk	BlackMEG	djilk_660ms	8	1	0	12	552	56001	0	0	0	4294911295		1
resp	Noir	Black	Rien	15	0	0	0	560	56801	0	0	0	0		NA
jitter	Noir	Black	Rien	4	0	0	0	575	58300	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	579	58700	0	0	0	0		NA
pres	mzanf	BlackMEG	mzanf_660ms	8	1	0	14	589	59700	0	0	0	4294907596		1
resp	Noir	Black	Rien	15	0	0	0	597	60500	0	0	0	0		NA
jitter	Noir	Black	Rien	5	0	0	0	612	62000	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	617	62500	0	0	0	0		NA
pres	stalm	BlackMEG	stalm_660ms	8	1	0	12	627	63500	0	0	0	4294903796		1
resp	Noir	Black	Rien	15	0	0	0	635	64300	0	0	0	0		NA
jitter	Noir	Black	Rien	6	0	0	0	650	65800	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	656	66400	0	0	0	0		NA
pres	bnigd	BlackMEG	bnigd_660ms	8	1	0	14	666	67400	0	0	0	4294899896		1
resp	Noir	Black	Rien	15	0	0	0	674	68200	0	0	0	0		NA
jitter	Noir	Black	Rien	8	0	0	0	689	69700	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	697	70500	0	0	0	0		NA
pres	gzouls	BlackMEG	gzouls_660ms	8	1	0	12	707	71500	0	0	0	4294895796		1
resp	Noir	Black	Rien	15	0	0	0	715	72300	0	0	0	0		NA
jitter	Noir	Black	Rien	6	0	0	0	730	73800	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	736	74400	0	0	0	0		NA
pres	mzanf	BlackMEG	mzanf_660ms	8	1	0	24	746	75401	0	0	0	4294891895		1
resp	Noir	Black	Rien	15	0	0	0	754	76201	0	0	0	0		NA
jitter	Noir	Black	Rien	4	0	0	0	769	77700	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	773	78100	0	0	0	0		NA
pres	stalm	BlackMEG	stalm_660ms	8	1	0	22	783	79100	0	0	0	4294888196		1
resp	Noir	Black	Rien	15	0	0	0	791	79900	0	0	0	0		NA
jitter	Noir	Black	Rien	6	0	0	0	806	81400	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	812	82000	0	0	0	0		NA
pres	snoupt	BlackMEG	snoupt_660ms	8	1	0	22	822	83000	0	0	0	4294884296		1
resp	Noir	Black	Rien	15	0	0	0	830	83800	0	0	0	0		NA
jitter	Noir	Black	Rien	5	0	0	0	845	85300	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	850	85800	0	0	0	0		NA
pres	mlagnk	BlackMEG	mlagnk_660ms	8	1	0	24	860	86800	0	0	0	4294880496		1
resp	Noir	Black	Rien	15	0	0	0	868	87600	0	0	0	0		NA
jitter	Noir	Black	Rien	7	0	0	0	883	89100	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	890	89800	0	0	0	0		NA
pres	tsalp	BlackMEG	tsalp_660ms	8	1	0	22	900	90800	0	0	0	4294876496		1
resp	Noir	Black	Rien	15	0	0	0	908	91600	0	0	0	0		NA
jitter	Noir	Black	Rien	6	0	0	0	923	93100	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	929	93700	0	0	0	0		NA
pres	pkoung	BlackMEG	pkoung_660ms	8	1	0	24	939	94700	0	0	0	4294872596		0
resp	Noir	Black	Rien	15	0	0	0	947	95500	0	0	0	0		NA
jitter	Noir	Black	Rien	4	0	0	0	962	97000	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	966	97400	0	0	0	0		NA
pres	plouks	BlackMEG	plouks_660ms	8	1	0	22	976	98400	0	0	0	4294868896		1
resp	Noir	Black	Rien	15	0	0	0	984	99200	0	0	0	0		NA
jitter	Noir	Black	Rien	6	0	0	0	999	100700	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1005	101300	0	0	0	0		NA
pres	jnakch	BlackMEG	jnakch_660ms	8	1	0	24	1015	102300	0	0	0	4294864996		1
resp	Noir	Black	Rien	15	0	0	0	1023	103100	0	0	0	0		NA
jitter	Noir	Black	Rien	6	0	0	0	1038	104600	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1044	105200	0	0	0	0		NA
pres	bnigd	BlackMEG	bnigd_660ms	8	1	0	24	1054	106200	0	0	0	4294861096		0
resp	Noir	Black	Rien	15	0	0	0	1062	107000	0	0	0	0		NA
jitter	Noir	Black	Rien	9	0	0	0	1077	108500	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1086	109400	0	0	0	0		NA
pres	gzouls	BlackMEG	gzouls_660ms	8	1	0	22	1096	110400	0	0	0	4294856896		1
resp	Noir	Black	Rien	15	0	0	0	1104	111200	0	0	0	0		NA
jitter	Noir	Black	Rien	7	0	0	0	1119	112700	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1126	113400	0	0	0	0		NA
pres	klift	BlackMEG	klift_660ms	8	1	0	22	1136	114400	0	0	0	4294852896		1
resp	Noir	Black	Rien	15	0	0	0	1144	115200	0	0	0	0		NA
jitter	Noir	Black	Rien	5	0	0	0	1159	116700	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1164	117200	0	0	0	0		NA
pres	gbamch	BlackMEG	gbamch_660ms	8	1	0	24	1174	118200	0	0	0	4294849096		1
resp	Noir	Black	Rien	15	0	0	0	1182	119000	0	0	0	0		NA
jitter	Noir	Black	Rien	8	0	0	0	1197	120500	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1205	121300	0	0	0	0		NA
pres	pnoulf	BlackMEG	pnoulf_660ms	8	1	0	22	1215	122300	0	0	0	4294844996		1
resp	Noir	Black	Rien	15	0	0	0	1223	123100	0	0	0	0		NA
jitter	Noir	Black	Rien	4	0	0	0	1238	124600	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1242	125000	0	0	0	0		NA
pres	kgnamj	BlackMEG	kgnamj_660ms	8	1	0	24	1252	126000	0	0	0	4294841296		1
resp	Noir	Black	Rien	15	0	0	0	1260	126800	0	0	0	0		NA
jitter	Noir	Black	Rien	8	0	0	0	1275	128300	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1283	129100	0	0	0	0		NA
pres	bjoumg	BlackMEG	bjoumg_660ms	8	1	0	24	1293	130100	0	0	0	4294837196		1
resp	Noir	Black	Rien	15	0	0	0	1301	130900	0	0	0	0		NA
jitter	Noir	Black	Rien	5	0	0	0	1316	132400	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1321	132900	0	0	0	0		NA
pres	djilk	BlackMEG	djilk_660ms	8	1	0	22	1331	133900	0	0	0	4294833396		1
resp	Noir	Black	Rien	15	0	0	0	1339	134700	0	0	0	0		NA
jitter	Noir	Black	Rien	5	0	0	0	1354	136200	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1359	136700	0	0	0	0		NA
pres	kpimt	BlackMEG	kpimt_660ms	8	1	0	24	1369	137700	0	0	0	4294829596		1
resp	Noir	Black	Rien	15	0	0	0	1377	138500	0	0	0	0		NA
jitter	Noir	Black	Rien	8	0	0	0	1392	140000	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1400	140800	0	0	0	0		NA
pres	psalb	BlackMEG	psalb_660ms	8	1	0	22	1410	141800	0	0	0	4294825496		1
resp	Noir	Black	Rien	15	0	0	0	1418	142600	0	0	0	0		NA
jitter	Noir	Black	Rien	6	0	0	0	1433	144100	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1439	144700	0	0	0	0		NA
pres	gzouls	BlackMEG	gzouls_660ms	8	1	0	32	1449	145700	0	0	0	4294821596		1
resp	Noir	Black	Rien	15	0	0	0	1457	146500	0	0	0	0		NA
jitter	Noir	Black	Rien	9	0	0	0	1472	148000	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1481	148900	0	0	0	0		NA
pres	bnigd	BlackMEG	bnigd_660ms	8	1	0	34	1491	149900	0	0	0	4294817396		1
resp	Noir	Black	Rien	15	0	0	0	1499	150700	0	0	0	0		NA
jitter	Noir	Black	Rien	7	0	0	0	1514	152200	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1521	152900	0	0	0	0		NA
pres	kgnamj	BlackMEG	kgnamj_660ms	8	1	0	34	1531	153900	0	0	0	4294813396		0
resp	Noir	Black	Rien	15	0	0	0	1539	154700	0	0	0	0		NA
jitter	Noir	Black	Rien	4	0	0	0	1554	156201	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1558	156600	0	0	0	0		NA
pres	pnoulf	BlackMEG	pnoulf_660ms	8	1	0	32	1568	157600	0	0	0	4294809696		1
resp	Noir	Black	Rien	15	0	0	0	1576	158400	0	0	0	0		NA
jitter	Noir	Black	Rien	7	0	0	0	1591	159900	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1598	160600	0	0	0	0		NA
pres	bjoumg	BlackMEG	bjoumg_660ms	8	1	0	34	1608	161600	0	0	0	4294805696		1
resp	Noir	Black	Rien	15	0	0	0	1616	162400	0	0	0	0		NA
jitter	Noir	Black	Rien	9	0	0	0	1631	163900	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1640	164800	0	0	0	0		NA
pres	djilk	BlackMEG	djilk_660ms	8	1	0	32	1650	165800	0	0	0	4294801496		1
resp	Noir	Black	Rien	15	0	0	0	1658	166600	0	0	0	0		NA
jitter	Noir	Black	Rien	5	0	0	0	1673	168100	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1678	168600	0	0	0	0		NA
pres	gbamch	BlackMEG	gbamch_660ms	8	1	0	34	1688	169600	0	0	0	4294797696		0
resp	Noir	Black	Rien	15	0	0	0	1696	170400	0	0	0	0		NA
jitter	Noir	Black	Rien	7	0	0	0	1711	171900	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1718	172600	0	0	0	0		NA
pres	klift	BlackMEG	klift_660ms	8	1	0	32	1728	173600	0	0	0	4294793696		1
resp	Noir	Black	Rien	15	0	0	0	1736	174400	0	0	0	0		NA
jitter	Noir	Black	Rien	4	0	0	0	1751	175900	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1755	176300	0	0	0	0		NA
pres	mzanf	BlackMEG	mzanf_660ms	8	1	0	34	1765	177300	0	0	0	4294789996		1
resp	Noir	Black	Rien	15	0	0	0	1773	178100	0	0	0	0		NA
jitter	Noir	Black	Rien	7	0	0	0	1788	179600	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1795	180300	0	0	0	0		NA
pres	stalm	BlackMEG	stalm_660ms	8	1	0	32	1805	181300	0	0	0	4294785996		1
resp	Noir	Black	Rien	15	0	0	0	1813	182100	0	0	0	0		NA
jitter	Noir	Black	Rien	9	0	0	0	1828	183600	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1837	184500	0	0	0	0		NA
pres	kpimt	BlackMEG	kpimt_660ms	8	1	0	34	1847	185500	0	0	0	4294781796		1
resp	Noir	Black	Rien	15	0	0	0	1855	186300	0	0	0	0		NA
jitter	Noir	Black	Rien	6	0	0	0	1870	187800	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1876	188400	0	0	0	0		NA
pres	psalb	BlackMEG	psalb_660ms	8	1	0	32	1886	189400	0	0	0	4294777896		1
resp	Noir	Black	Rien	15	0	0	0	1894	190200	0	0	0	0		NA
jitter	Noir	Black	Rien	5	0	0	0	1909	191700	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1914	192201	0	0	0	0		NA
pres	tsalp	BlackMEG	tsalp_660ms	8	1	0	32	1924	193200	0	0	0	4294774096		1
resp	Noir	Black	Rien	15	0	0	0	1932	194000	0	0	0	0		NA
jitter	Noir	Black	Rien	6	0	0	0	1947	195500	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1953	196100	0	0	0	0		NA
pres	pkoung	BlackMEG	pkoung_660ms	8	1	0	34	1963	197100	0	0	0	4294770196		0
resp	Noir	Black	Rien	15	0	0	0	1971	197900	0	0	0	0		NA
jitter	Noir	Black	Rien	5	0	0	0	1986	199400	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	1991	199900	0	0	0	0		NA
pres	snoupt	BlackMEG	snoupt_660ms	8	1	0	32	2001	200900	0	0	0	4294766396		1
resp	Noir	Black	Rien	15	0	0	0	2009	201700	0	0	0	0		NA
jitter	Noir	Black	Rien	6	0	0	0	2024	203200	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2030	203800	0	0	0	0		NA
pres	mlagnk	BlackMEG	mlagnk_660ms	8	1	0	34	2040	204800	0	0	0	4294762496		1
resp	Noir	Black	Rien	15	0	0	0	2048	205600	0	0	0	0		NA
jitter	Noir	Black	Rien	4	0	0	0	2063	207100	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2067	207501	0	0	0	0		NA
pres	jnakch	BlackMEG	jnakch_660ms	8	1	0	34	2077	208500	0	0	0	4294758796		1
resp	Noir	Black	Rien	15	0	0	0	2085	209300	0	0	0	0		NA
jitter	Noir	Black	Rien	7	0	0	0	2100	210800	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2107	211500	0	0	0	0		NA
pres	plouks	BlackMEG	plouks_660ms	8	1	0	32	2117	212500	0	0	0	4294754796		1
resp	Noir	Black	Rien	15	0	0	0	2125	213300	0	0	0	0		NA
jitter	Noir	Black	Rien	7	0	0	0	2140	214800	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2147	215500	0	0	0	0		NA
pres	mzanf	BlackMEG	mzanf_660ms	8	1	0	44	2157	216500	0	0	0	4294750796		1
resp	Noir	Black	Rien	15	0	0	0	2165	217300	0	0	0	0		NA
jitter	Noir	Black	Rien	8	0	0	0	2180	218800	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2188	219600	0	0	0	0		NA
pres	stalm	BlackMEG	stalm_660ms	8	1	0	42	2198	220600	0	0	0	4294746696		1
resp	Noir	Black	Rien	15	0	0	0	2206	221400	0	0	0	0		NA
jitter	Noir	Black	Rien	9	0	0	0	2221	222900	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2230	223800	0	0	0	0		NA
pres	pnoulf	BlackMEG	pnoulf_660ms	8	1	0	42	2240	224800	0	0	0	4294742496		1
resp	Noir	Black	Rien	15	0	0	0	2248	225600	0	0	0	0		NA
jitter	Noir	Black	Rien	5	0	0	0	2263	227100	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2268	227600	0	0	0	0		NA
pres	kgnamj	BlackMEG	kgnamj_660ms	8	1	0	44	2278	228600	0	0	0	4294738696		0
resp	Noir	Black	Rien	15	0	0	0	2286	229400	0	0	0	0		NA
jitter	Noir	Black	Rien	6	0	0	0	2301	230900	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2307	231500	0	0	0	0		NA
pres	gbamch	BlackMEG	gbamch_660ms	8	1	0	44	2317	232500	0	0	0	4294734796		1
resp	Noir	Black	Rien	15	0	0	0	2325	233300	0	0	0	0		NA
jitter	Noir	Black	Rien	6	0	0	0	2340	234800	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2346	235400	0	0	0	0		NA
pres	klift	BlackMEG	klift_660ms	8	1	0	42	2356	236400	0	0	0	4294730896		1
resp	Noir	Black	Rien	15	0	0	0	2364	237200	0	0	0	0		NA
jitter	Noir	Black	Rien	8	0	0	0	2379	238700	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2387	239500	0	0	0	0		NA
pres	psalb	BlackMEG	psalb_660ms	8	1	0	42	2397	240500	0	0	0	4294726796		1
resp	Noir	Black	Rien	15	0	0	0	2405	241300	0	0	0	0		NA
jitter	Noir	Black	Rien	7	0	0	0	2420	242800	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2427	243500	0	0	0	0		NA
pres	kpimt	BlackMEG	kpimt_660ms	8	1	0	44	2437	244500	0	0	0	4294722796		1
resp	Noir	Black	Rien	15	0	0	0	2445	245300	0	0	0	0		NA
jitter	Noir	Black	Rien	4	0	0	0	2460	246801	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2464	247201	0	0	0	0		NA
pres	snoupt	BlackMEG	snoupt_660ms	8	1	0	42	2474	248200	0	0	0	4294719096		1
resp	Noir	Black	Rien	15	0	0	0	2482	249000	0	0	0	0		NA
jitter	Noir	Black	Rien	7	0	0	0	2497	250500	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2504	251200	0	0	0	0		NA
pres	mlagnk	BlackMEG	mlagnk_660ms	8	1	0	44	2514	252200	0	0	0	4294715096		1
resp	Noir	Black	Rien	15	0	0	0	2522	253000	0	0	0	0		NA
jitter	Noir	Black	Rien	4	0	0	0	2537	254500	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2541	254900	0	0	0	0		NA
pres	gzouls	BlackMEG	gzouls_660ms	8	1	0	42	2551	255900	0	0	0	4294711396		1
resp	Noir	Black	Rien	15	0	0	0	2559	256700	0	0	0	0		NA
jitter	Noir	Black	Rien	6	0	0	0	2574	258200	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2580	258800	0	0	0	0		NA
pres	bnigd	BlackMEG	bnigd_660ms	8	1	0	44	2590	259800	0	0	0	4294707496		1
resp	Noir	Black	Rien	15	0	0	0	2598	260600	0	0	0	0		NA
jitter	Noir	Black	Rien	5	0	0	0	2613	262100	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2618	262600	0	0	0	0		NA
pres	plouks	BlackMEG	plouks_660ms	8	1	0	42	2628	263600	0	0	0	4294703696		1
resp	Noir	Black	Rien	15	0	0	0	2636	264400	0	0	0	0		NA
jitter	Noir	Black	Rien	8	0	0	0	2651	265900	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2659	266700	0	0	0	0		NA
pres	jnakch	BlackMEG	jnakch_660ms	8	1	0	44	2669	267700	0	0	0	4294699596		1
resp	Noir	Black	Rien	15	0	0	0	2677	268500	0	0	0	0		NA
jitter	Noir	Black	Rien	9	0	0	0	2692	270000	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2701	270900	0	0	0	0		NA
pres	djilk	BlackMEG	djilk_660ms	8	1	0	42	2711	271900	0	0	0	4294695396		1
resp	Noir	Black	Rien	15	0	0	0	2719	272700	0	0	0	0		NA
jitter	Noir	Black	Rien	8	0	0	0	2734	274200	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2742	275000	0	0	0	0		NA
pres	bjoumg	BlackMEG	bjoumg_660ms	8	1	0	44	2752	276000	0	0	0	4294691296		1
resp	Noir	Black	Rien	15	0	0	0	2760	276800	0	0	0	0		NA
jitter	Noir	Black	Rien	8	0	0	0	2775	278301	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2783	279100	0	0	0	0		NA
pres	pkoung	BlackMEG	pkoung_660ms	8	1	0	44	2793	280100	0	0	0	4294687196		1
resp	Noir	Black	Rien	15	0	0	0	2801	280900	0	0	0	0		NA
jitter	Noir	Black	Rien	9	0	0	0	2816	282400	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2825	283300	0	0	0	0		NA
pres	tsalp	BlackMEG	tsalp_660ms	8	1	0	42	2835	284300	0	0	0	4294682996		1
resp	Noir	Black	Rien	15	0	0	0	2843	285100	0	0	0	0		NA
jitter	Noir	Black	Rien	6	0	0	0	2858	286600	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2864	287200	0	0	0	0		NA
pres	gzouls	BlackMEG	gzouls_660ms	8	1	0	52	2874	288200	0	0	0	4294679096		1
resp	Noir	Black	Rien	15	0	0	0	2882	289000	0	0	0	0		NA
jitter	Noir	Black	Rien	9	0	0	0	2897	290500	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2906	291400	0	0	0	0		NA
pres	bnigd	BlackMEG	bnigd_660ms	8	1	0	54	2916	292400	0	0	0	4294674896		1
resp	Noir	Black	Rien	15	0	0	0	2924	293200	0	0	0	0		NA
jitter	Noir	Black	Rien	5	0	0	0	2939	294700	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2944	295200	0	0	0	0		NA
pres	psalb	BlackMEG	psalb_660ms	8	1	0	52	2954	296200	0	0	0	4294671096		1
resp	Noir	Black	Rien	15	0	0	0	2962	297000	0	0	0	0		NA
jitter	Noir	Black	Rien	8	0	0	0	2977	298500	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	2985	299300	0	0	0	0		NA
pres	kpimt	BlackMEG	kpimt_660ms	8	1	0	54	2995	300300	0	0	0	4294666996		0
resp	Noir	Black	Rien	15	0	0	0	3003	301100	0	0	0	0		NA
jitter	Noir	Black	Rien	9	0	0	0	3018	302600	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	3027	303500	0	0	0	0		NA
pres	tsalp	BlackMEG	tsalp_660ms	8	1	0	52	3037	304500	0	0	0	4294662796		1
resp	Noir	Black	Rien	15	0	0	0	3045	305300	0	0	0	0		NA
jitter	Noir	Black	Rien	9	0	0	0	3060	306800	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	3069	307700	0	0	0	0		NA
pres	pkoung	BlackMEG	pkoung_660ms	8	1	0	54	3079	308700	0	0	0	4294658596		1
resp	Noir	Black	Rien	15	0	0	0	3087	309500	0	0	0	0		NA
jitter	Noir	Black	Rien	7	0	0	0	3102	311000	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	3109	311700	0	0	0	0		NA
pres	klift	BlackMEG	klift_660ms	8	1	0	52	3119	312700	0	0	0	4294654596		1
resp	Noir	Black	Rien	15	0	0	0	3127	313500	0	0	0	0		NA
